Q core socket tempC time
QQQ 0 0 38 0.00
QQQ 1 0 33 0.00
QQQ 2 0 35 0.00
QQQ 3 0 32 0.00
QQQ 4 0 31 0.00
QQQ 5 0 38 0.00
QQQ 6 0 37 0.00
QQQ 7 0 36 0.00
QQQ 0 1 37 0.00
QQQ 1 1 36 0.00
QQQ 2 1 36 0.00
QQQ 3 1 32 0.00
QQQ 4 1 35 0.00
QQQ 5 1 34 0.00
QQQ 6 1 38 0.00
QQQ 7 1 36 0.00
QQQ 0 0 39 0.10
QQQ 1 0 34 0.10
QQQ 2 0 35 0.10
QQQ 3 0 32 0.10
QQQ 4 0 30 0.10
QQQ 5 0 39 0.10
QQQ 6 0 38 0.10
QQQ 7 0 37 0.10
QQQ 0 1 37 0.10
QQQ 1 1 37 0.10
QQQ 2 1 37 0.10
QQQ 3 1 33 0.10
QQQ 4 1 36 0.10
QQQ 5 1 36 0.10
QQQ 6 1 38 0.10
QQQ 7 1 37 0.10
QQQ 0 0 39 0.20
QQQ 1 0 34 0.20
QQQ 2 0 35 0.20
QQQ 3 0 33 0.20
QQQ 4 0 31 0.20
QQQ 5 0 39 0.20
QQQ 6 0 39 0.20
QQQ 7 0 37 0.20
QQQ 0 1 38 0.20
QQQ 1 1 39 0.20
QQQ 2 1 37 0.20
QQQ 3 1 34 0.20
QQQ 4 1 37 0.20
QQQ 5 1 37 0.20
QQQ 6 1 38 0.20
QQQ 7 1 37 0.20
QQQ 0 0 39 0.30
QQQ 1 0 34 0.30
QQQ 2 0 35 0.30
QQQ 3 0 32 0.30
QQQ 4 0 32 0.30
QQQ 5 0 40 0.30
QQQ 6 0 39 0.30
QQQ 7 0 38 0.30
QQQ 0 1 37 0.30
QQQ 1 1 39 0.30
QQQ 2 1 38 0.30
QQQ 3 1 34 0.30
QQQ 4 1 36 0.30
QQQ 5 1 37 0.30
QQQ 6 1 39 0.30
QQQ 7 1 38 0.30
QQQ 0 0 40 0.40
QQQ 1 0 34 0.40
QQQ 2 0 36 0.40
QQQ 3 0 33 0.40
QQQ 4 0 33 0.40
QQQ 5 0 40 0.40
QQQ 6 0 40 0.40
QQQ 7 0 38 0.40
QQQ 0 1 38 0.40
QQQ 1 1 39 0.40
QQQ 2 1 40 0.40
QQQ 3 1 35 0.40
QQQ 4 1 37 0.40
QQQ 5 1 37 0.40
QQQ 6 1 40 0.40
QQQ 7 1 38 0.40
QQQ 0 0 40 0.50
QQQ 1 0 34 0.50
QQQ 2 0 36 0.50
QQQ 3 0 33 0.50
QQQ 4 0 33 0.50
QQQ 5 0 40 0.50
QQQ 6 0 40 0.50
QQQ 7 0 39 0.50
QQQ 0 1 38 0.50
QQQ 1 1 40 0.50
QQQ 2 1 41 0.50
QQQ 3 1 35 0.50
QQQ 4 1 38 0.50
QQQ 5 1 38 0.50
QQQ 6 1 41 0.50
QQQ 7 1 39 0.50
QQQ 0 0 39 0.60
QQQ 1 0 34 0.60
QQQ 2 0 36 0.60
QQQ 3 0 33 0.60
QQQ 4 0 32 0.60
QQQ 5 0 40 0.60
QQQ 6 0 40 0.60
QQQ 7 0 39 0.60
QQQ 0 1 39 0.60
QQQ 1 1 40 0.60
QQQ 2 1 41 0.60
QQQ 3 1 35 0.60
QQQ 4 1 38 0.60
QQQ 5 1 39 0.60
QQQ 6 1 41 0.60
QQQ 7 1 39 0.60
QQQ 0 0 40 0.70
QQQ 1 0 35 0.70
QQQ 2 0 36 0.70
QQQ 3 0 33 0.70
QQQ 4 0 32 0.70
QQQ 5 0 40 0.70
QQQ 6 0 41 0.70
QQQ 7 0 39 0.70
QQQ 0 1 39 0.70
QQQ 1 1 41 0.70
QQQ 2 1 41 0.70
QQQ 3 1 36 0.70
QQQ 4 1 39 0.70
QQQ 5 1 39 0.70
QQQ 6 1 41 0.70
QQQ 7 1 40 0.70
QQQ 0 0 40 0.80
QQQ 1 0 35 0.80
QQQ 2 0 36 0.80
QQQ 3 0 33 0.80
QQQ 4 0 33 0.80
QQQ 5 0 41 0.80
QQQ 6 0 41 0.80
QQQ 7 0 39 0.80
QQQ 0 1 39 0.80
QQQ 1 1 41 0.80
QQQ 2 1 42 0.80
QQQ 3 1 36 0.80
QQQ 4 1 40 0.80
QQQ 5 1 40 0.80
QQQ 6 1 41 0.80
QQQ 7 1 40 0.80
QQQ 0 0 40 0.90
QQQ 1 0 35 0.90
QQQ 2 0 37 0.90
QQQ 3 0 33 0.90
QQQ 4 0 33 0.90
QQQ 5 0 40 0.90
QQQ 6 0 41 0.90
QQQ 7 0 40 0.90
QQQ 0 1 40 0.90
QQQ 1 1 41 0.90
