Q core socket tempC time
QQQ 0 0 36 0.00
QQQ 1 0 32 0.00
QQQ 2 0 33 0.00
QQQ 3 0 34 0.00
QQQ 4 0 30 0.00
QQQ 5 0 36 0.00
QQQ 6 0 31 0.00
QQQ 7 0 30 0.00
QQQ 0 1 26 0.00
QQQ 1 1 30 0.00
QQQ 2 1 28 0.00
QQQ 3 1 31 0.00
QQQ 4 1 25 0.00
QQQ 5 1 28 0.00
QQQ 6 1 27 0.00
QQQ 7 1 30 0.00
QQQ 0 0 35 0.10
QQQ 1 0 33 0.10
QQQ 2 0 34 0.10
QQQ 3 0 34 0.10
QQQ 4 0 30 0.10
QQQ 5 0 36 0.10
QQQ 6 0 30 0.10
QQQ 7 0 30 0.10
QQQ 0 1 26 0.10
QQQ 1 1 30 0.10
QQQ 2 1 29 0.10
QQQ 3 1 38 0.10
QQQ 4 1 25 0.10
QQQ 5 1 29 0.10
QQQ 6 1 27 0.10
QQQ 7 1 30 0.10
QQQ 0 0 36 0.20
QQQ 1 0 33 0.20
QQQ 2 0 33 0.20
QQQ 3 0 34 0.20
QQQ 4 0 30 0.20
QQQ 5 0 36 0.20
QQQ 6 0 30 0.20
QQQ 7 0 30 0.20
QQQ 0 1 26 0.20
QQQ 1 1 30 0.20
QQQ 2 1 30 0.20
QQQ 3 1 38 0.20
QQQ 4 1 26 0.20
QQQ 5 1 28 0.20
QQQ 6 1 28 0.20
QQQ 7 1 30 0.20
QQQ 0 0 35 0.30
QQQ 1 0 32 0.30
QQQ 2 0 33 0.30
QQQ 3 0 32 0.30
QQQ 4 0 31 0.30
QQQ 5 0 36 0.30
QQQ 6 0 31 0.30
QQQ 7 0 30 0.30
QQQ 0 1 26 0.30
QQQ 1 1 30 0.30
QQQ 2 1 31 0.30
QQQ 3 1 38 0.30
QQQ 4 1 27 0.30
QQQ 5 1 29 0.30
QQQ 6 1 27 0.30
QQQ 7 1 29 0.30
QQQ 0 0 35 0.40
QQQ 1 0 33 0.40
QQQ 2 0 33 0.40
QQQ 3 0 32 0.40
QQQ 4 0 30 0.40
QQQ 5 0 36 0.40
QQQ 6 0 31 0.40
QQQ 7 0 29 0.40
QQQ 0 1 26 0.40
QQQ 1 1 30 0.40
QQQ 2 1 30 0.40
QQQ 3 1 38 0.40
QQQ 4 1 27 0.40
QQQ 5 1 29 0.40
QQQ 6 1 27 0.40
QQQ 7 1 30 0.40
QQQ 0 0 35 0.50
QQQ 1 0 32 0.50
QQQ 2 0 33 0.50
QQQ 3 0 33 0.50
QQQ 4 0 30 0.50
QQQ 5 0 37 0.50
QQQ 6 0 31 0.50
QQQ 7 0 29 0.50
QQQ 0 1 26 0.50
QQQ 1 1 31 0.50
QQQ 2 1 30 0.50
QQQ 3 1 38 0.50
QQQ 4 1 26 0.50
QQQ 5 1 29 0.50
QQQ 6 1 27 0.50
QQQ 7 1 29 0.50
QQQ 0 0 35 0.60
QQQ 1 0 33 0.60
QQQ 2 0 33 0.60
QQQ 3 0 33 0.60
QQQ 4 0 30 0.60
QQQ 5 0 36 0.60
QQQ 6 0 31 0.60
QQQ 7 0 30 0.60
QQQ 0 1 26 0.60
QQQ 1 1 30 0.60
QQQ 2 1 30 0.60
QQQ 3 1 39 0.60
QQQ 4 1 27 0.60
QQQ 5 1 28 0.60
QQQ 6 1 28 0.60
QQQ 7 1 31 0.60
QQQ 0 0 35 0.70
QQQ 1 0 32 0.70
QQQ 2 0 33 0.70
QQQ 3 0 33 0.70
QQQ 4 0 31 0.71
QQQ 5 0 36 0.71
QQQ 6 0 30 0.71
QQQ 7 0 30 0.71
QQQ 0 1 26 0.71
QQQ 1 1 31 0.71
QQQ 2 1 30 0.71
QQQ 3 1 38 0.71
QQQ 4 1 26 0.71
QQQ 5 1 29 0.71
QQQ 6 1 28 0.71
QQQ 7 1 31 0.71
QQQ 0 0 34 0.81
QQQ 1 0 33 0.81
QQQ 2 0 33 0.81
QQQ 3 0 34 0.81
QQQ 4 0 31 0.81
QQQ 5 0 36 0.81
QQQ 6 0 31 0.81
QQQ 7 0 30 0.81
QQQ 0 1 27 0.81
QQQ 1 1 31 0.81
QQQ 2 1 31 0.81
QQQ 3 1 39 0.81
QQQ 4 1 26 0.81
QQQ 5 1 29 0.81
QQQ 6 1 28 0.81
QQQ 7 1 30 0.81
QQQ 0 0 35 0.91
QQQ 1 0 32 0.91
QQQ 2 0 33 0.91
QQQ 3 0 33 0.91
QQQ 4 0 30 0.91
QQQ 5 0 37 0.91
QQQ 6 0 30 0.91
QQQ 7 0 30 0.91
QQQ 0 1 27 0.91
QQQ 1 1 31 0.91
QQQ 2 1 31 0.91
QQQ 3 1 39 0.91
QQQ 4 1 26 0.91
QQQ 5 1 29 0.91
QQQ 6 1 28 0.91
QQQ 7 1 30 0.91
QQQ 0 0 35 1.01
QQQ 1 0 32 1.01
QQQ 2 0 34 1.01
QQQ 3 0 34 1.01
QQQ 4 0 30 1.01
QQQ 5 0 36 1.01
QQQ 6 0 31 1.01
QQQ 7 0 30 1.01
QQQ 0 1 26 1.01
QQQ 1 1 31 1.01
QQQ 2 1 32 1.01
QQQ 3 1 39 1.01
QQQ 4 1 27 1.01
QQQ 5 1 29 1.01
QQQ 6 1 27 1.01
QQQ 7 1 31 1.01
QQQ 0 0 36 1.11
QQQ 1 0 32 1.11
QQQ 2 0 33 1.11
QQQ 3 0 33 1.11
QQQ 4 0 30 1.11
QQQ 5 0 36 1.11
QQQ 6 0 31 1.11
QQQ 7 0 31 1.11
QQQ 0 1 27 1.11
QQQ 1 1 32 1.11
QQQ 2 1 31 1.11
QQQ 3 1 40 1.11
QQQ 4 1 27 1.11
QQQ 5 1 30 1.11
QQQ 6 1 28 1.11
QQQ 7 1 32 1.11
QQQ 0 0 35 1.21
QQQ 1 0 32 1.21
QQQ 2 0 33 1.21
QQQ 3 0 33 1.21
QQQ 4 0 30 1.21
QQQ 5 0 36 1.21
QQQ 6 0 31 1.21
QQQ 7 0 30 1.21
QQQ 0 1 27 1.21
QQQ 1 1 31 1.21
QQQ 2 1 31 1.21
QQQ 3 1 39 1.21
QQQ 4 1 27 1.21
QQQ 5 1 29 1.21
QQQ 6 1 27 1.21
QQQ 7 1 31 1.21
QQQ 0 0 36 1.31
QQQ 1 0 32 1.31
QQQ 2 0 33 1.31
QQQ 3 0 33 1.31
QQQ 4 0 30 1.31
QQQ 5 0 37 1.31
QQQ 6 0 31 1.31
QQQ 7 0 30 1.31
QQQ 0 1 27 1.31
QQQ 1 1 31 1.31
QQQ 2 1 30 1.31
QQQ 3 1 40 1.31
QQQ 4 1 26 1.31
QQQ 5 1 30 1.31
QQQ 6 1 28 1.31
QQQ 7 1 31 1.31
QQQ 0 0 35 1.41
QQQ 1 0 33 1.41
QQQ 2 0 33 1.41
QQQ 3 0 33 1.41
QQQ 4 0 30 1.41
QQQ 5 0 36 1.41
QQQ 6 0 30 1.41
QQQ 7 0 30 1.41
QQQ 0 1 27 1.41
QQQ 1 1 31 1.41
QQQ 2 1 32 1.41
QQQ 3 1 39 1.41
QQQ 4 1 27 1.41
QQQ 5 1 30 1.41
QQQ 6 1 28 1.41
QQQ 7 1 31 1.41
QQQ 0 0 36 1.51
QQQ 1 0 32 1.51
QQQ 2 0 33 1.51
QQQ 3 0 33 1.51
QQQ 4 0 30 1.51
QQQ 5 0 36 1.51
QQQ 6 0 31 1.51
QQQ 7 0 29 1.51
QQQ 0 1 27 1.51
QQQ 1 1 32 1.51
QQQ 2 1 31 1.51
QQQ 3 1 39 1.51
QQQ 4 1 27 1.51
QQQ 5 1 30 1.51
QQQ 6 1 28 1.51
QQQ 7 1 31 1.51
QQQ 0 0 35 1.61
QQQ 1 0 32 1.61
QQQ 2 0 33 1.61
QQQ 3 0 33 1.61
QQQ 4 0 31 1.61
QQQ 5 0 36 1.61
QQQ 6 0 31 1.61
QQQ 7 0 30 1.61
QQQ 0 1 27 1.61
QQQ 1 1 32 1.61
QQQ 2 1 31 1.61
QQQ 3 1 40 1.61
QQQ 4 1 27 1.61
QQQ 5 1 30 1.61
QQQ 6 1 28 1.61
QQQ 7 1 31 1.61
QQQ 0 0 35 1.71
QQQ 1 0 33 1.71
QQQ 2 0 33 1.71
QQQ 3 0 33 1.71
QQQ 4 0 29 1.71
QQQ 5 0 36 1.71
QQQ 6 0 31 1.71
QQQ 7 0 29 1.71
QQQ 0 1 28 1.71
QQQ 1 1 32 1.71
QQQ 2 1 31 1.71
QQQ 3 1 40 1.71
QQQ 4 1 27 1.71
QQQ 5 1 30 1.71
QQQ 6 1 28 1.71
QQQ 7 1 31 1.71
QQQ 0 0 35 1.81
QQQ 1 0 33 1.81
QQQ 2 0 33 1.81
QQQ 3 0 33 1.81
QQQ 4 0 30 1.81
QQQ 5 0 36 1.81
QQQ 6 0 31 1.81
QQQ 7 0 30 1.81
QQQ 0 1 27 1.81
QQQ 1 1 31 1.81
QQQ 2 1 32 1.81
QQQ 3 1 39 1.81
QQQ 4 1 27 1.81
QQQ 5 1 30 1.81
QQQ 6 1 29 1.81
QQQ 7 1 30 1.81
QQQ 0 0 35 1.91
QQQ 1 0 32 1.91
QQQ 2 0 33 1.91
QQQ 3 0 33 1.91
QQQ 4 0 30 1.91
QQQ 5 0 36 1.91
QQQ 6 0 31 1.91
QQQ 7 0 30 1.91
QQQ 0 1 27 1.91
QQQ 1 1 32 1.91
QQQ 2 1 31 1.91
QQQ 3 1 40 1.91
QQQ 4 1 27 1.91
QQQ 5 1 30 1.91
QQQ 6 1 28 1.91
QQQ 7 1 31 1.91
QQQ 0 0 36 2.01
QQQ 1 0 33 2.01
QQQ 2 0 33 2.01
QQQ 3 0 33 2.01
QQQ 4 0 30 2.01
QQQ 5 0 36 2.01
QQQ 6 0 31 2.01
QQQ 7 0 29 2.01
QQQ 0 1 28 2.01
QQQ 1 1 32 2.01
QQQ 2 1 32 2.01
QQQ 3 1 40 2.01
QQQ 4 1 27 2.01
QQQ 5 1 30 2.01
QQQ 6 1 28 2.01
QQQ 7 1 32 2.02
QQQ 0 0 36 2.12
QQQ 1 0 33 2.12
QQQ 2 0 33 2.12
QQQ 3 0 33 2.12
QQQ 4 0 30 2.12
QQQ 5 0 36 2.12
QQQ 6 0 31 2.12
QQQ 7 0 30 2.12
QQQ 0 1 27 2.12
QQQ 1 1 32 2.12
QQQ 2 1 32 2.12
QQQ 3 1 40 2.12
QQQ 4 1 27 2.12
QQQ 5 1 30 2.12
QQQ 6 1 28 2.12
QQQ 7 1 31 2.12
QQQ 0 0 35 2.22
QQQ 1 0 33 2.22
QQQ 2 0 33 2.22
QQQ 3 0 33 2.22
QQQ 4 0 30 2.22
QQQ 5 0 36 2.22
QQQ 6 0 31 2.22
QQQ 7 0 30 2.22
QQQ 0 1 28 2.22
QQQ 1 1 32 2.22
QQQ 2 1 31 2.22
QQQ 3 1 39 2.22
QQQ 4 1 27 2.22
QQQ 5 1 30 2.22
QQQ 6 1 29 2.22
QQQ 7 1 31 2.22
QQQ 0 0 35 2.32
QQQ 1 0 33 2.32
QQQ 2 0 33 2.32
QQQ 3 0 33 2.32
QQQ 4 0 30 2.32
QQQ 5 0 36 2.32
QQQ 6 0 31 2.32
QQQ 7 0 30 2.32
QQQ 0 1 27 2.32
QQQ 1 1 32 2.32
QQQ 2 1 32 2.32
QQQ 3 1 40 2.32
QQQ 4 1 28 2.32
QQQ 5 1 31 2.32
QQQ 6 1 29 2.32
QQQ 7 1 31 2.32
QQQ 0 0 35 2.42
QQQ 1 0 34 2.42
QQQ 2 0 33 2.42
QQQ 3 0 33 2.42
QQQ 4 0 30 2.42
QQQ 5 0 36 2.42
QQQ 6 0 30 2.42
QQQ 7 0 30 2.42
QQQ 0 1 28 2.42
QQQ 1 1 32 2.42
QQQ 2 1 32 2.42
QQQ 3 1 40 2.42
QQQ 4 1 27 2.42
QQQ 5 1 30 2.42
QQQ 6 1 28 2.42
QQQ 7 1 31 2.42
QQQ 0 0 36 2.52
QQQ 1 0 33 2.52
QQQ 2 0 33 2.52
QQQ 3 0 33 2.52
QQQ 4 0 30 2.52
QQQ 5 0 36 2.52
QQQ 6 0 31 2.52
QQQ 7 0 30 2.52
QQQ 0 1 28 2.52
QQQ 1 1 32 2.52
QQQ 2 1 32 2.52
QQQ 3 1 41 2.52
QQQ 4 1 27 2.52
QQQ 5 1 31 2.52
QQQ 6 1 29 2.52
QQQ 7 1 31 2.52
QQQ 0 0 35 2.62
QQQ 1 0 33 2.62
QQQ 2 0 33 2.62
QQQ 3 0 32 2.62
QQQ 4 0 31 2.62
QQQ 5 0 36 2.62
QQQ 6 0 31 2.62
QQQ 7 0 30 2.62
QQQ 0 1 27 2.62
QQQ 1 1 32 2.62
QQQ 2 1 32 2.62
QQQ 3 1 40 2.62
QQQ 4 1 27 2.62
QQQ 5 1 31 2.62
QQQ 6 1 29 2.62
QQQ 7 1 31 2.62
QQQ 0 0 34 2.72
QQQ 1 0 33 2.72
QQQ 2 0 33 2.72
QQQ 3 0 33 2.72
QQQ 4 0 30 2.72
QQQ 5 0 36 2.72
QQQ 6 0 30 2.72
QQQ 7 0 30 2.72
QQQ 0 1 28 2.72
QQQ 1 1 32 2.72
QQQ 2 1 32 2.72
QQQ 3 1 40 2.72
QQQ 4 1 27 2.72
QQQ 5 1 31 2.72
QQQ 6 1 29 2.72
QQQ 7 1 31 2.72
QQQ 0 0 34 2.82
QQQ 1 0 33 2.82
QQQ 2 0 33 2.82
QQQ 3 0 33 2.82
QQQ 4 0 30 2.82
QQQ 5 0 36 2.82
QQQ 6 0 31 2.82
QQQ 7 0 29 2.82
QQQ 0 1 27 2.82
QQQ 1 1 32 2.82
QQQ 2 1 32 2.82
QQQ 3 1 40 2.82
QQQ 4 1 27 2.82
QQQ 5 1 31 2.82
QQQ 6 1 28 2.82
QQQ 7 1 31 2.82
QQQ 0 0 35 2.92
QQQ 1 0 33 2.92
QQQ 2 0 33 2.92
QQQ 3 0 33 2.92
QQQ 4 0 30 2.92
QQQ 5 0 36 2.92
QQQ 6 0 31 2.92
QQQ 7 0 30 2.92
QQQ 0 1 27 2.92
QQQ 1 1 31 2.92
QQQ 2 1 32 2.92
QQQ 3 1 41 2.92
QQQ 4 1 27 2.92
QQQ 5 1 31 2.92
QQQ 6 1 29 2.92
QQQ 7 1 32 2.92
QQQ 0 0 36 3.02
QQQ 1 0 33 3.02
QQQ 2 0 34 3.02
QQQ 3 0 33 3.02
QQQ 4 0 30 3.02
QQQ 5 0 36 3.02
QQQ 6 0 30 3.02
QQQ 7 0 30 3.02
QQQ 0 1 28 3.02
QQQ 1 1 32 3.02
QQQ 2 1 33 3.02
QQQ 3 1 41 3.02
QQQ 4 1 27 3.02
QQQ 5 1 31 3.02
QQQ 6 1 29 3.02
QQQ 7 1 31 3.02
QQQ 0 0 34 3.12
QQQ 1 0 33 3.12
QQQ 2 0 34 3.12
QQQ 3 0 34 3.12
QQQ 4 0 31 3.12
QQQ 5 0 36 3.12
QQQ 6 0 30 3.12
QQQ 7 0 30 3.12
QQQ 0 1 28 3.12
QQQ 1 1 32 3.12
QQQ 2 1 32 3.12
QQQ 3 1 41 3.12
QQQ 4 1 27 3.12
QQQ 5 1 31 3.12
QQQ 6 1 28 3.12
QQQ 7 1 32 3.12
QQQ 0 0 35 3.22
QQQ 1 0 32 3.22
QQQ 2 0 33 3.22
QQQ 3 0 33 3.22
QQQ 4 0 30 3.22
QQQ 5 0 36 3.22
QQQ 6 0 30 3.22
QQQ 7 0 29 3.22
QQQ 0 1 28 3.22
QQQ 1 1 32 3.22
QQQ 2 1 33 3.22
QQQ 3 1 41 3.22
QQQ 4 1 27 3.22
QQQ 5 1 31 3.22
QQQ 6 1 29 3.22
QQQ 7 1 31 3.22
QQQ 0 0 34 3.32
QQQ 1 0 32 3.32
QQQ 2 0 33 3.32
QQQ 3 0 33 3.32
QQQ 4 0 31 3.32
QQQ 5 0 35 3.32
QQQ 6 0 30 3.32
QQQ 7 0 30 3.32
QQQ 0 1 29 3.32
QQQ 1 1 31 3.32
QQQ 2 1 32 3.32
QQQ 3 1 41 3.32
QQQ 4 1 28 3.32
QQQ 5 1 31 3.32
QQQ 6 1 30 3.32
QQQ 7 1 31 3.32
QQQ 0 0 35 3.42
QQQ 1 0 32 3.42
QQQ 2 0 34 3.42
QQQ 3 0 33 3.42
QQQ 4 0 30 3.42
QQQ 5 0 36 3.42
QQQ 6 0 31 3.42
QQQ 7 0 29 3.42
QQQ 0 1 28 3.42
QQQ 1 1 32 3.42
QQQ 2 1 33 3.42
QQQ 3 1 41 3.42
QQQ 4 1 28 3.42
QQQ 5 1 31 3.42
QQQ 6 1 29 3.42
QQQ 7 1 31 3.42
QQQ 0 0 34 3.52
QQQ 1 0 32 3.52
QQQ 2 0 33 3.52
QQQ 3 0 33 3.52
QQQ 4 0 30 3.52
QQQ 5 0 37 3.52
QQQ 6 0 31 3.52
QQQ 7 0 30 3.52
QQQ 0 1 29 3.52
QQQ 1 1 32 3.52
QQQ 2 1 32 3.52
QQQ 3 1 41 3.52
QQQ 4 1 28 3.52
QQQ 5 1 31 3.52
QQQ 6 1 28 3.52
QQQ 7 1 32 3.53
QQQ 0 0 35 3.63
QQQ 1 0 32 3.63
QQQ 2 0 33 3.63
QQQ 3 0 33 3.63
QQQ 4 0 31 3.63
QQQ 5 0 36 3.63
QQQ 6 0 31 3.63
QQQ 7 0 29 3.63
QQQ 0 1 29 3.63
QQQ 1 1 33 3.63
QQQ 2 1 33 3.63
QQQ 3 1 41 3.63
QQQ 4 1 27 3.63
QQQ 5 1 30 3.63
QQQ 6 1 30 3.63
QQQ 7 1 32 3.63
QQQ 0 0 34 3.73
QQQ 1 0 33 3.73
QQQ 2 0 33 3.73
QQQ 3 0 33 3.73
QQQ 4 0 31 3.73
QQQ 5 0 36 3.73
QQQ 6 0 30 3.73
QQQ 7 0 30 3.73
QQQ 0 1 29 3.73
QQQ 1 1 32 3.73
QQQ 2 1 32 3.73
QQQ 3 1 40 3.73
QQQ 4 1 28 3.73
QQQ 5 1 31 3.73
QQQ 6 1 29 3.73
QQQ 7 1 32 3.73
QQQ 0 0 36 3.83
QQQ 1 0 33 3.83
QQQ 2 0 33 3.83
QQQ 3 0 33 3.83
QQQ 4 0 30 3.83
QQQ 5 0 36 3.83
QQQ 6 0 31 3.83
QQQ 7 0 29 3.83
QQQ 0 1 28 3.83
QQQ 1 1 31 3.83
QQQ 2 1 32 3.83
