Q core socket tempC time
QQQ 0 0 29 0.00
QQQ 1 0 31 0.00
QQQ 2 0 35 0.00
QQQ 3 0 29 0.00
QQQ 4 0 32 0.00
QQQ 5 0 26 0.00
QQQ 6 0 33 0.00
QQQ 7 0 38 0.00
QQQ 0 1 31 0.00
QQQ 1 1 30 0.00
QQQ 2 1 27 0.00
QQQ 3 1 32 0.00
QQQ 4 1 30 0.00
QQQ 5 1 27 0.00
QQQ 6 1 29 0.00
QQQ 7 1 23 0.00
QQQ 0 0 29 0.10
QQQ 1 0 30 0.10
QQQ 2 0 34 0.10
QQQ 3 0 29 0.10
QQQ 4 0 32 0.10
QQQ 5 0 25 0.10
QQQ 6 0 33 0.10
QQQ 7 0 38 0.10
QQQ 0 1 31 0.10
QQQ 1 1 36 0.10
QQQ 2 1 28 0.10
QQQ 3 1 32 0.10
QQQ 4 1 30 0.10
QQQ 5 1 27 0.10
QQQ 6 1 29 0.10
QQQ 7 1 23 0.10
QQQ 0 0 29 0.20
QQQ 1 0 30 0.20
QQQ 2 0 35 0.20
QQQ 3 0 29 0.20
QQQ 4 0 32 0.20
QQQ 5 0 25 0.20
QQQ 6 0 33 0.20
QQQ 7 0 37 0.20
QQQ 0 1 32 0.20
QQQ 1 1 36 0.20
QQQ 2 1 28 0.20
QQQ 3 1 33 0.20
QQQ 4 1 31 0.20
QQQ 5 1 27 0.20
QQQ 6 1 29 0.20
QQQ 7 1 22 0.20
QQQ 0 0 29 0.30
QQQ 1 0 30 0.30
QQQ 2 0 34 0.30
QQQ 3 0 28 0.30
QQQ 4 0 32 0.30
QQQ 5 0 26 0.30
QQQ 6 0 32 0.30
QQQ 7 0 37 0.30
QQQ 0 1 33 0.30
QQQ 1 1 36 0.30
QQQ 2 1 29 0.30
QQQ 3 1 33 0.30
QQQ 4 1 31 0.30
QQQ 5 1 27 0.30
QQQ 6 1 30 0.30
QQQ 7 1 23 0.30
QQQ 0 0 29 0.40
QQQ 1 0 30 0.40
QQQ 2 0 36 0.40
QQQ 3 0 29 0.40
QQQ 4 0 31 0.40
QQQ 5 0 26 0.40
QQQ 6 0 33 0.40
QQQ 7 0 37 0.40
QQQ 0 1 32 0.40
QQQ 1 1 37 0.40
QQQ 2 1 28 0.40
QQQ 3 1 33 0.40
QQQ 4 1 31 0.40
QQQ 5 1 27 0.40
QQQ 6 1 29 0.40
QQQ 7 1 23 0.40
QQQ 0 0 29 0.50
QQQ 1 0 31 0.50
QQQ 2 0 36 0.50
QQQ 3 0 28 0.50
QQQ 4 0 32 0.50
QQQ 5 0 25 0.50
QQQ 6 0 32 0.50
QQQ 7 0 38 0.50
QQQ 0 1 33 0.50
QQQ 1 1 36 0.50
QQQ 2 1 28 0.50
QQQ 3 1 33 0.50
QQQ 4 1 31 0.50
QQQ 5 1 28 0.50
QQQ 6 1 29 0.50
QQQ 7 1 24 0.50
QQQ 0 0 28 0.60
QQQ 1 0 31 0.60
QQQ 2 0 35 0.60
QQQ 3 0 29 0.60
QQQ 4 0 32 0.60
QQQ 5 0 25 0.60
QQQ 6 0 32 0.60
QQQ 7 0 37 0.60
QQQ 0 1 33 0.60
QQQ 1 1 37 0.60
QQQ 2 1 29 0.60
QQQ 3 1 33 0.60
QQQ 4 1 31 0.60
QQQ 5 1 28 0.60
QQQ 6 1 29 0.60
QQQ 7 1 24 0.60
QQQ 0 0 29 0.70
QQQ 1 0 31 0.70
QQQ 2 0 35 0.70
QQQ 3 0 29 0.70
QQQ 4 0 32 0.70
QQQ 5 0 26 0.70
QQQ 6 0 32 0.70
QQQ 7 0 37 0.70
QQQ 0 1 33 0.70
QQQ 1 1 36 0.70
QQQ 2 1 29 0.70
QQQ 3 1 33 0.70
QQQ 4 1 31 0.70
QQQ 5 1 27 0.70
QQQ 6 1 29 0.70
QQQ 7 1 24 0.70
QQQ 0 0 29 0.80
QQQ 1 0 31 0.81
QQQ 2 0 35 0.81
