Q core socket tempC time
QQQ 0 0 29 0.00
QQQ 1 0 30 0.00
QQQ 2 0 35 0.00
QQQ 3 0 29 0.00
QQQ 4 0 33 0.00
QQQ 5 0 27 0.00
QQQ 6 0 32 0.00
QQQ 7 0 37 0.00
QQQ 0 1 31 0.00
QQQ 1 1 29 0.00
QQQ 2 1 27 0.00
QQQ 3 1 33 0.00
QQQ 4 1 31 0.00
QQQ 5 1 26 0.00
QQQ 6 1 30 0.00
QQQ 7 1 22 0.00
QQQ 0 0 29 0.10
QQQ 1 0 30 0.10
QQQ 2 0 36 0.10
QQQ 3 0 29 0.10
QQQ 4 0 33 0.10
QQQ 5 0 33 0.10
QQQ 6 0 33 0.10
QQQ 7 0 37 0.10
QQQ 0 1 30 0.10
QQQ 1 1 30 0.10
QQQ 2 1 28 0.10
QQQ 3 1 34 0.10
QQQ 4 1 31 0.10
QQQ 5 1 27 0.10
QQQ 6 1 29 0.10
QQQ 7 1 22 0.10
QQQ 0 0 29 0.20
QQQ 1 0 31 0.20
QQQ 2 0 35 0.20
QQQ 3 0 29 0.20
QQQ 4 0 34 0.20
QQQ 5 0 33 0.20
QQQ 6 0 34 0.20
QQQ 7 0 37 0.20
QQQ 0 1 31 0.20
QQQ 1 1 29 0.20
QQQ 2 1 27 0.20
QQQ 3 1 34 0.20
QQQ 4 1 31 0.20
QQQ 5 1 27 0.20
QQQ 6 1 29 0.20
QQQ 7 1 23 0.20
QQQ 0 0 29 0.30
QQQ 1 0 30 0.30
QQQ 2 0 36 0.30
QQQ 3 0 30 0.30
QQQ 4 0 33 0.30
QQQ 5 0 34 0.30
QQQ 6 0 34 0.30
QQQ 7 0 37 0.30
QQQ 0 1 30 0.30
QQQ 1 1 30 0.30
QQQ 2 1 29 0.30
QQQ 3 1 32 0.30
QQQ 4 1 31 0.30
QQQ 5 1 26 0.30
QQQ 6 1 29 0.30
QQQ 7 1 23 0.30
QQQ 0 0 29 0.40
QQQ 1 0 31 0.40
QQQ 2 0 37 0.40
QQQ 3 0 29 0.40
QQQ 4 0 34 0.40
QQQ 5 0 34 0.40
QQQ 6 0 35 0.40
QQQ 7 0 38 0.40
QQQ 0 1 30 0.40
QQQ 1 1 30 0.40
QQQ 2 1 27 0.40
QQQ 3 1 33 0.40
QQQ 4 1 31 0.40
QQQ 5 1 26 0.40
QQQ 6 1 28 0.40
QQQ 7 1 23 0.40
QQQ 0 0 29 0.50
QQQ 1 0 31 0.50
QQQ 2 0 36 0.50
QQQ 3 0 29 0.50
QQQ 4 0 34 0.50
QQQ 5 0 34 0.50
QQQ 6 0 34 0.50
QQQ 7 0 38 0.50
QQQ 0 1 30 0.50
QQQ 1 1 30 0.50
QQQ 2 1 27 0.50
QQQ 3 1 32 0.50
QQQ 4 1 31 0.50
QQQ 5 1 26 0.50
QQQ 6 1 28 0.50
QQQ 7 1 22 0.50
QQQ 0 0 29 0.60
QQQ 1 0 31 0.60
QQQ 2 0 36 0.60
QQQ 3 0 30 0.60
QQQ 4 0 34 0.60
QQQ 5 0 35 0.60
QQQ 6 0 35 0.60
QQQ 7 0 38 0.60
QQQ 0 1 31 0.60
QQQ 1 1 29 0.60
QQQ 2 1 28 0.60
QQQ 3 1 33 0.60
QQQ 4 1 31 0.60
QQQ 5 1 26 0.60
QQQ 6 1 28 0.60
QQQ 7 1 22 0.60
QQQ 0 0 29 0.70
QQQ 1 0 31 0.70
QQQ 2 0 37 0.70
QQQ 3 0 30 0.71
QQQ 4 0 35 0.71
QQQ 5 0 35 0.71
QQQ 6 0 35 0.71
QQQ 7 0 38 0.71
QQQ 0 1 31 0.71
QQQ 1 1 30 0.71
QQQ 2 1 28 0.71
QQQ 3 1 31 0.71
QQQ 4 1 32 0.71
QQQ 5 1 26 0.71
QQQ 6 1 29 0.71
QQQ 7 1 22 0.71
QQQ 0 0 29 0.81
QQQ 1 0 31 0.81
QQQ 2 0 36 0.81
QQQ 3 0 30 0.81
QQQ 4 0 35 0.81
QQQ 5 0 36 0.81
QQQ 6 0 36 0.81
QQQ 7 0 37 0.81
QQQ 0 1 30 0.81
QQQ 1 1 29 0.81
QQQ 2 1 27 0.81
QQQ 3 1 32 0.81
QQQ 4 1 31 0.81
QQQ 5 1 27 0.81
QQQ 6 1 29 0.81
QQQ 7 1 23 0.81
QQQ 0 0 29 0.91
QQQ 1 0 31 0.91
QQQ 2 0 37 0.91
QQQ 3 0 30 0.91
QQQ 4 0 35 0.91
QQQ 5 0 35 0.91
QQQ 6 0 35 0.91
QQQ 7 0 37 0.91
QQQ 0 1 31 0.91
QQQ 1 1 30 0.91
QQQ 2 1 28 0.91
QQQ 3 1 33 0.91
QQQ 4 1 31 0.91
QQQ 5 1 26 0.91
QQQ 6 1 29 0.91
QQQ 7 1 22 0.91
QQQ 0 0 29 1.01
QQQ 1 0 31 1.01
QQQ 2 0 37 1.01
QQQ 3 0 30 1.01
QQQ 4 0 35 1.01
QQQ 5 0 35 1.01
QQQ 6 0 36 1.01
QQQ 7 0 38 1.01
QQQ 0 1 31 1.01
QQQ 1 1 30 1.01
QQQ 2 1 27 1.01
QQQ 3 1 33 1.01
QQQ 4 1 31 1.01
QQQ 5 1 26 1.01
QQQ 6 1 29 1.01
QQQ 7 1 22 1.01
QQQ 0 0 29 1.11
QQQ 1 0 31 1.11
QQQ 2 0 36 1.11
QQQ 3 0 30 1.11
QQQ 4 0 35 1.11
QQQ 5 0 35 1.11
QQQ 6 0 36 1.11
QQQ 7 0 38 1.11
QQQ 0 1 30 1.11
QQQ 1 1 29 1.11
QQQ 2 1 28 1.11
QQQ 3 1 31 1.11
QQQ 4 1 31 1.11
QQQ 5 1 27 1.11
QQQ 6 1 29 1.11
QQQ 7 1 23 1.11
QQQ 0 0 29 1.21
QQQ 1 0 31 1.21
QQQ 2 0 37 1.21
QQQ 3 0 30 1.21
QQQ 4 0 35 1.21
QQQ 5 0 35 1.21
QQQ 6 0 36 1.21
QQQ 7 0 38 1.21
QQQ 0 1 31 1.21
QQQ 1 1 30 1.21
QQQ 2 1 28 1.21
QQQ 3 1 32 1.21
QQQ 4 1 31 1.21
QQQ 5 1 27 1.21
QQQ 6 1 30 1.21
QQQ 7 1 22 1.21
QQQ 0 0 29 1.31
QQQ 1 0 31 1.31
QQQ 2 0 37 1.31
QQQ 3 0 30 1.31
QQQ 4 0 35 1.31
QQQ 5 0 36 1.31
QQQ 6 0 36 1.31
QQQ 7 0 38 1.31
QQQ 0 1 31 1.31
QQQ 1 1 29 1.31
QQQ 2 1 28 1.31
QQQ 3 1 33 1.31
QQQ 4 1 31 1.31
QQQ 5 1 27 1.31
QQQ 6 1 29 1.31
QQQ 7 1 23 1.31
QQQ 0 0 29 1.41
QQQ 1 0 30 1.41
QQQ 2 0 36 1.41
QQQ 3 0 30 1.41
QQQ 4 0 35 1.41
QQQ 5 0 36 1.41
QQQ 6 0 36 1.41
QQQ 7 0 38 1.41
QQQ 0 1 31 1.41
QQQ 1 1 30 1.41
QQQ 2 1 28 1.41
QQQ 3 1 32 1.41
QQQ 4 1 31 1.41
QQQ 5 1 26 1.41
QQQ 6 1 29 1.41
QQQ 7 1 24 1.41
QQQ 0 0 29 1.51
QQQ 1 0 32 1.51
QQQ 2 0 37 1.51
QQQ 3 0 30 1.51
QQQ 4 0 35 1.51
QQQ 5 0 36 1.51
QQQ 6 0 36 1.51
QQQ 7 0 38 1.51
QQQ 0 1 31 1.51
QQQ 1 1 30 1.51
QQQ 2 1 28 1.51
QQQ 3 1 31 1.51
QQQ 4 1 31 1.51
QQQ 5 1 27 1.51
QQQ 6 1 28 1.51
QQQ 7 1 23 1.51
QQQ 0 0 29 1.61
QQQ 1 0 32 1.61
QQQ 2 0 37 1.61
QQQ 3 0 30 1.61
QQQ 4 0 35 1.61
QQQ 5 0 36 1.61
QQQ 6 0 36 1.61
QQQ 7 0 38 1.61
QQQ 0 1 31 1.61
QQQ 1 1 29 1.61
QQQ 2 1 28 1.61
QQQ 3 1 32 1.61
QQQ 4 1 31 1.61
QQQ 5 1 27 1.61
QQQ 6 1 29 1.61
QQQ 7 1 22 1.61
QQQ 0 0 29 1.71
QQQ 1 0 32 1.71
QQQ 2 0 37 1.71
QQQ 3 0 30 1.71
QQQ 4 0 35 1.71
QQQ 5 0 36 1.71
QQQ 6 0 37 1.71
QQQ 7 0 38 1.71
QQQ 0 1 32 1.71
QQQ 1 1 29 1.71
QQQ 2 1 28 1.71
QQQ 3 1 31 1.71
QQQ 4 1 31 1.71
QQQ 5 1 27 1.71
QQQ 6 1 29 1.71
QQQ 7 1 23 1.71
QQQ 0 0 30 1.81
QQQ 1 0 31 1.81
QQQ 2 0 37 1.81
QQQ 3 0 30 1.81
QQQ 4 0 35 1.81
QQQ 5 0 36 1.81
QQQ 6 0 36 1.81
QQQ 7 0 39 1.81
QQQ 0 1 31 1.81
QQQ 1 1 30 1.81
QQQ 2 1 28 1.81
QQQ 3 1 32 1.81
QQQ 4 1 31 1.81
QQQ 5 1 27 1.81
QQQ 6 1 29 1.81
QQQ 7 1 23 1.81
QQQ 0 0 29 1.91
QQQ 1 0 31 1.91
QQQ 2 0 36 1.91
QQQ 3 0 30 1.91
QQQ 4 0 35 1.91
QQQ 5 0 36 1.91
QQQ 6 0 37 1.91
QQQ 7 0 38 1.91
QQQ 0 1 31 1.91
QQQ 1 1 29 1.91
QQQ 2 1 28 1.91
QQQ 3 1 32 1.91
QQQ 4 1 31 1.91
QQQ 5 1 27 1.91
QQQ 6 1 29 1.91
QQQ 7 1 23 1.91
QQQ 0 0 29 2.01
QQQ 1 0 31 2.01
QQQ 2 0 37 2.01
QQQ 3 0 31 2.01
QQQ 4 0 35 2.01
QQQ 5 0 35 2.01
QQQ 6 0 36 2.01
QQQ 7 0 39 2.02
QQQ 0 1 31 2.02
QQQ 1 1 29 2.02
QQQ 2 1 28 2.02
QQQ 3 1 33 2.02
QQQ 4 1 32 2.02
QQQ 5 1 27 2.02
QQQ 6 1 29 2.02
QQQ 7 1 23 2.02
QQQ 0 0 29 2.12
QQQ 1 0 31 2.12
QQQ 2 0 37 2.12
QQQ 3 0 31 2.12
QQQ 4 0 35 2.12
QQQ 5 0 36 2.12
QQQ 6 0 36 2.12
QQQ 7 0 39 2.12
QQQ 0 1 30 2.12
QQQ 1 1 30 2.12
QQQ 2 1 28 2.12
QQQ 3 1 31 2.12
QQQ 4 1 31 2.12
QQQ 5 1 26 2.12
QQQ 6 1 29 2.12
QQQ 7 1 22 2.12
QQQ 0 0 29 2.22
QQQ 1 0 32 2.22
QQQ 2 0 36 2.22
QQQ 3 0 30 2.22
QQQ 4 0 35 2.22
QQQ 5 0 35 2.22
QQQ 6 0 36 2.22
QQQ 7 0 39 2.22
QQQ 0 1 31 2.22
QQQ 1 1 30 2.22
QQQ 2 1 28 2.22
QQQ 3 1 32 2.22
QQQ 4 1 31 2.22
QQQ 5 1 26 2.22
QQQ 6 1 28 2.22
QQQ 7 1 22 2.22
QQQ 0 0 30 2.32
QQQ 1 0 32 2.32
QQQ 2 0 36 2.32
QQQ 3 0 31 2.32
QQQ 4 0 36 2.32
QQQ 5 0 36 2.32
QQQ 6 0 36 2.32
